algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_fhum_1,False,grid_5_5,1,5,100 5,5 1 18 13,ppa_fhum_1_100_5_74,20000,True,226.7920440110028,180.8725806451613,235.53860846163928,850.0,459.0,850.0,1.5979787147379567
ppa_fhum_1,False,grid_5_5,2,15 2,100 5,8 15 1 21 2,ppa_fhum_1_100_5_24,20000,True,154.03012755740085,116.34041318593368,163.4525561502676,1199.0,553.0,1199.0,1.53205714175822
ppa_fhum_1,False,grid_5_5,3,2 21 8,100 5,8 15 1 21 2,ppa_fhum_1_100_5_5,20000,True,179.7846447677616,133.2272886355682,191.42398380081,1214.0,565.0,1214.0,1.5461027230200313
ppa_fhum_1,False,grid_5_5,4,5 13 18 1,100 5,5 1 18 13,ppa_fhum_1_100_5_42,20000,True,102.0759651930386,74.41655831166233,107.34442364663408,840.0,418.0,840.0,1.9204185399089928
ppa_fhum_1,False,grid_5_5,1,7,100 5,7 15 1 19 11,ppa_fhum_1_100_5_68,20000,True,257.1489470261618,195.42524135861137,272.5798734430494,1174.0,591.0,1174.0,1.496354546812067
ppa_fhum_1,False,grid_5_5,4,20 23 16 15,100 5,22 20 16 15 23 3,ppa_fhum_1_100_5_29,20000,True,113.23157557877892,67.66833341667083,127.61996784049728,995.0,434.0,995.0,2.43216314946973
ppa_fhum_1,False,grid_5_5,3,15 22 16,100 5,22 20 16 15 23 3,ppa_fhum_1_100_5_56,20000,True,248.71540245975405,147.5929407059294,280.648811434646,1015.0,478.0,1015.0,2.518857662052177
ppa_fhum_1,False,grid_5_5,2,18 5,100 5,5 1 18 13,ppa_fhum_1_100_5_6,20000,True,214.1164892978596,170.01934136827364,222.51594604635213,853.0,453.0,853.0,1.6642460646599508
ppa_fhum_1,False,grid_5_5,4,21 1 8 15,100 5,8 15 1 21 2,ppa_fhum_1_100_5_15,20000,True,103.6338530779617,72.63899584937741,111.38256738510776,1186.0,542.0,1186.0,1.717577717428529
ppa_fhum_1,False,grid_5_5,2,6 0,100 5,6 15 24 0 11 17,ppa_fhum_1_100_5_73,20000,True,146.884356,145.180125,147.42253421052632,848.0,620.0,848.0,1.0839137740784566
ppa_fhum_1,False,grid_5_5,4,1 15 19 7,100 5,7 15 1 19 11,ppa_fhum_1_100_5_55,20000,True,116.24979,81.95664000000001,124.8230775,909.0,554.0,909.0,1.7112283196224252
ppa_fhum_1,False,grid_5_5,1,6,100 5,6 15 24 0 11 17,ppa_fhum_1_100_5_93,20000,True,235.3073372662733,235.5718344832184,235.2238118293434,854.0,625.0,854.0,1.0279731580442717
ppa_fhum_1,False,grid_5_5,2,15 12,100 5,24 10 4 12 2 15,ppa_fhum_1_100_5_32,20000,True,251.2252975892768,208.59974659064383,264.6859979046345,873.0,692.0,873.0,1.3225961734820575
ppa_fhum_1,False,grid_5_5,3,15 17 11,100 5,6 15 24 0 11 17,ppa_fhum_1_100_5_35,20000,True,130.3045041260315,128.85624739518212,130.76184835682605,871.0,641.0,871.0,1.091219236498752
ppa_fhum_1,False,grid_5_5,4,4 2 10 15,100 5,24 10 4 12 2 15,ppa_fhum_1_100_5_63,20000,True,147.50235688215588,113.02009066213355,158.39149358321558,870.0,650.0,870.0,1.51577600599011
ppa_fhum_1,False,grid_5_5,3,4 2 15,100 5,24 10 4 12 2 15,ppa_fhum_1_100_5_71,20000,True,148.5054787260637,113.8856223855474,159.43806493885833,875.0,655.0,875.0,1.5133885812006571
ppa_fhum_1,False,grid_5_5,1,8,100 5,8 15 1 21 2,ppa_fhum_1_100_5_53,20000,True,260.4909114544273,211.63353832308383,272.7052547372631,1247.0,594.0,1247.0,1.3783351293764512
ppa_fhum_1,False,grid_5_5,2,23 20,100 5,22 20 16 15 23 3,ppa_fhum_1_100_5_9,20000,True,259.3433951697585,157.87041852092605,291.38749305886347,1117.0,493.0,1117.0,2.365128954583184
ppa_fhum_1,False,grid_5_5,3,1 18 5,100 5,5 1 18 13,ppa_fhum_1_100_5_60,20000,True,110.4640796119418,80.29915737360604,116.20977908591053,866.0,420.0,866.0,1.851419682090225
ppa_fhum_1,False,grid_5_5,1,24,100 5,24 10 4 12 2 15,ppa_fhum_1_100_5_26,20000,True,256.37057305730576,215.0463296329633,269.420334138677,850.0,683.0,850.0,1.3008052693603265
ppa_fhum_1,False,grid_5_5,3,2 17 4,100 5,4 17 2 22,ppa_fhum_1_100_5_25,20000,True,157.63711756763513,94.67056308446269,169.63074699300134,1090.0,491.0,1090.0,2.186439939657288
ppa_fhum_1,False,grid_5_5,1,0,100 5,17 2 12 0 16,ppa_fhum_1_100_5_8,20000,True,277.9654774522548,192.44731526847315,299.3450179982001,945.0,489.0,945.0,1.712354421147381
ppa_fhum_1,False,grid_5_5,4,4 2 17 22,100 5,4 17 2 22,ppa_fhum_1_100_5_4,20000,True,249.68570057005704,147.25368786878687,269.19656013220373,1111.0,502.0,1111.0,2.193492655939715
ppa_fhum_1,False,grid_5_5,1,17,100 5,4 17 2 22,ppa_fhum_1_100_5_57,20000,True,276.4364325351197,174.3566714992751,295.8801965419473,1099.0,524.0,1099.0,1.9354439229069444
