algo_name,coefficients,depth,done,graph,init_bots,init_locations,priority_nodes,random_string,sim_length,time_periods,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
through_modified_basic,"1, 100, 0, 0",5,False,cair,4,1563324349 1563324327 1563324011 1563324344,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,through_modified_basic_cair_20_d5_100,20000,43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174,True,76.88469486384695,52.68103189681032,86.1937960050149,639.0,302.0,639.0,1.9030189078502924
through_modified_basic,"1, 100, 0, 0",0,False,iitb,3,667357419 667357382 4369058864,667357419 667357382 4369058864 2055461156,through_modified_basic_iitb_27_d0_100,20000,244.0719746939115 244.0719746939115 244.0719746939115 244.0719746939115,True,204.41926145458183,161.19273959583833,213.0645658263305,1349.0,820.0,1349.0,1.498898602783465
through_modified_basic,"1, 100, 0, 0",3,False,grid_5_5,4,4 2 17 22,4 17 2 22,through_modified_basic_grid_5_5_76_d3_100,20000,60.0 60.0 60.0 60.0,True,91.27832791639582,68.1723586179309,95.67946492562724,514.0,353.0,514.0,1.7148972453405655
through_modified_basic,"1, 100, 0, 0",0,False,cair,1,1154147727,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,through_modified_basic_cair_21_d0_100,20000,33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105,True,228.1684943530601,160.96585170741463,261.76981567588285,2081.0,567.0,2081.0,1.805846691911248
through_modified_basic,"1, 100, 0, 0",5,False,grid_5_5,4,0 2 17 12,17 2 12 0 16,through_modified_basic_grid_5_5_8_d5_100,20000,60.0 60.0 60.0 60.0 60.0,True,90.74106305315266,72.42449122456122,95.32020601030052,520.0,364.0,520.0,1.635736937971681
through_modified_basic,"1, 100, 0, 0",3,False,iitb,1,667357382,667357419 667357382 4369058864 2055461156,through_modified_basic_iitb_25_d3_100,20000,244.0719746939115 244.0719746939115 244.0719746939115 244.0719746939115,True,414.2165753892835,299.6413424027208,437.131621986596,2740.0,1066.0,2740.0,1.5821574225861563
through_modified_basic,"1, 100, 0, 0",0,False,iitb,4,-266 667357387 4369058864 667357409,-266 4369058864 667357382 -282 667357387 667357409,through_modified_basic_iitb_108_d0_100,20000,247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738,True,156.357601739826,92.19224744192248,177.74605317246056,1034.0,470.0,1034.0,2.448847375907676
through_modified_basic,"1, 100, 0, 0",5,False,iitb,3,668685374 3215340464 2055461156,2055461156 668685374 3215340464 -266,through_modified_basic_iitb_63_d5_100,20000,196.79764709698915 196.79764709698915 196.79764709698915 196.79764709698915,True,177.15642759528689,150.04547272636367,182.57861856907155,1726.0,599.0,1726.0,1.4631433648195444
through_modified_basic,"1, 100, 0, 0",3,False,cair,4,1563324344 1563324353 414035791 1563324349,1563324353 1154147728 1563324344 1563324349 414035791 1563324336,through_modified_basic_cair_96_d3_100,20000,33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105,True,115.79986556227745,87.75670383147511,129.8214464276786,1864.0,432.0,1864.0,1.5800940261451164
through_modified_basic,"1, 100, 0, 0",0,False,cair,3,1563324336 cluster_1563324004_1563324334 1563324324,1563324353 1563324324 1563324336 414035791 cluster_1563324004_1563324334,through_modified_basic_cair_55_d0_100,20000,48.02789561393829 48.02789561393829 48.02789561393829 48.02789561393829 48.02789561393829,True,148.11928848002043,52.488465576721154,184.90037421205864,1331.0,358.0,1331.0,4.313817215836807
through_modified_basic,"1, 100, 0, 0",5,False,iitb,2,5882320075 cluster_-172_5366445082,5882320075 cluster_-172_5366445082 5366445083 -222,through_modified_basic_iitb_98_d5_100,20000,188.35095049039631 188.35095049039631 188.35095049039631 188.35095049039631,True,249.6055028850644,168.07244346607965,265.9121147688613,1472.0,791.0,1472.0,2.037424454593377
through_modified_basic,"1, 100, 0, 0",3,False,grid_5_5,1,0,17 2 12 0 16,through_modified_basic_grid_5_5_5_d3_100,20000,60.0 60.0 60.0 60.0 60.0,True,250.6002341404843,177.70990594356616,268.8228161897138,1375.0,579.0,1375.0,1.6364889587909353
through_modified_basic,"1, 100, 0, 0",0,False,iitb,2,5882320075 cluster_-172_5366445082,5882320075 cluster_-172_5366445082 5366445083 -222,through_modified_basic_iitb_98_d0_100,20000,188.35095049039631 188.35095049039631 188.35095049039631 188.35095049039631,True,309.32737052789594,152.47798348761572,340.697247935952,2181.0,830.0,2181.0,2.943015472112713
through_modified_basic,"1, 100, 0, 0",3,False,cair,4,1563324343 1154147728 1154147727 1563324357,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,through_modified_basic_cair_92_d3_100,20000,35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316,True,81.47584601452296,60.814800740037,89.42240188932524,722.0,271.0,722.0,1.7091771656403607
through_modified_basic,"1, 100, 0, 0",5,False,grid_5_5,1,17,4 17 2 22,through_modified_basic_grid_5_5_73_d5_100,20000,60.0 60.0 60.0 60.0,True,240.2246527673616,169.84689515524224,253.6299399315748,1133.0,614.0,1133.0,1.6630476556831826
through_modified_basic,"1, 100, 0, 0",0,False,cair,3,1563324349 1563324324 1563324327,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_59_d0_100,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,99.94998277949982,59.44508882445089,120.20242975702428,1154.0,372.0,1154.0,2.223851552905931
through_modified_basic,"1, 100, 0, 0",3,False,grid_5_5,4,20 23 16 15,22 20 16 15 23 3,through_modified_basic_grid_5_5_12_d3_100,20000,60.0 60.0 60.0 60.0 60.0 60.0,True,94.79909390939092,65.43764376437643,104.07113079729028,746.0,358.0,746.0,1.8629424144193407
through_modified_basic,"1, 100, 0, 0",5,False,grid_5_5,1,5,5 1 18 13,through_modified_basic_grid_5_5_1_d5_100,20000,60.0 60.0 60.0 60.0,True,242.8018719064047,182.67074146292688,254.25542056230523,1411.0,605.0,1411.0,1.5476830431370134
through_modified_basic,"1, 100, 0, 0",0,False,grid_5_5,3,1 18 5,5 1 18 13,through_modified_basic_grid_5_5_3_d0_100,20000,60.0 60.0 60.0 60.0,True,119.10205110255512,71.76018800940047,128.11954883458458,821.0,321.0,821.0,2.1393779389368714
through_modified_basic,"1, 100, 0, 0",3,False,iitb,4,4369058864 -266 5366445083 3215340463,4369058864 5366445083 3215340463 667357382 -266,through_modified_basic_iitb_104_d3_100,20000,193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718,True,160.52842092980612,92.18239735960395,178.51421660617515,1186.0,523.0,1186.0,2.3072631514768167
through_modified_basic,"1, 100, 0, 0",5,False,iitb,4,668620103 -266 3215340463 -282,667357412 -282 3215340463 -266 668620103 667357401,through_modified_basic_iitb_36_d5_100,20000,257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111,True,150.89974570618642,103.64998332499584,166.6496664999166,1289.0,561.0,1289.0,2.0469785235679354
through_modified_basic,"1, 100, 0, 0",0,False,iitb,3,-222 cluster_-172_5366445082 5882320075,5882320075 cluster_-172_5366445082 5366445083 -222,through_modified_basic_iitb_99_d0_100,20000,188.35095049039631 188.35095049039631 188.35095049039631 188.35095049039631,True,230.1598351089548,101.08455459410794,255.97489121192416,1731.0,517.0,1731.0,3.2657814102090588
through_modified_basic,"1, 100, 0, 0",5,False,cair,2,cluster_1563324004_1563324334 1563324327,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,through_modified_basic_cair_18_d5_100,20000,43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174,True,125.42210111716636,83.83100844957752,141.41867522008516,889.0,416.0,889.0,1.8961095820121
through_modified_basic,"1, 100, 0, 0",3,False,grid_5_5,3,15 17 11,6 15 24 0 11 17,through_modified_basic_grid_5_5_83_d3_100,20000,80.0 80.0 80.0 80.0 80.0 80.0,True,124.3221581079054,97.41825424604563,132.81812774849269,823.0,482.0,823.0,1.5000599534788484
through_modified_basic,"1, 100, 0, 0",0,False,grid_5_5,3,17 16 12,17 2 12 0 16,through_modified_basic_grid_5_5_7_d0_100,20000,60.0 60.0 60.0 60.0 60.0,True,120.23498149814982,74.05581558155816,131.7797729772977,766.0,324.0,766.0,1.998497812177844
through_modified_basic,"1, 100, 0, 0",5,False,cair,1,1563324357,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_85_d5_100,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,158.18642302436422,125.17398260173982,167.6185488593998,564.0,359.0,564.0,1.4568439918928149
through_modified_basic,"1, 100, 0, 0",3,False,iitb,4,3215340464 668685374 2055461156 -266,2055461156 668685374 3215340464 -266,through_modified_basic_iitb_64_d3_100,20000,196.79764709698915 196.79764709698915 196.79764709698915 196.79764709698915,True,162.44934791666668,141.416475,166.65592249999997,1602.0,673.0,1602.0,1.428963699516406
through_modified_basic,"1, 100, 0, 0",5,False,cair,1,1563324353,1563324353 1154147728 1563324344 1563324349 414035791 1563324336,through_modified_basic_cair_93_d5_100,20000,33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105,True,220.47102186211416,146.44956820379448,257.48174869127405,1924.0,603.0,1924.0,1.8937618009299293
through_modified_basic,"1, 100, 0, 0",0,False,iitb,1,668620103,667357412 -282 3215340463 -266 668620103 667357401,through_modified_basic_iitb_33_d0_100,20000,257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111,True,504.5067489290061,266.6383207481123,583.7962249893039,5774.0,1052.0,5774.0,2.562101221620784
through_modified_basic,"1, 100, 0, 0",3,False,cair,4,1563324348 cluster_1563324004_1563324334 1563324327 1563324349,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_60_d3_100,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,73.38919441389194,46.30592774055928,86.9308277505583,804.0,231.0,804.0,2.0672039460231626
through_modified_basic,"1, 100, 0, 0",3,False,cair,1,1563324011,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,through_modified_basic_cair_17_d3_100,20000,43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174,True,193.07637604102428,135.40718035901793,215.256835918719,870.0,497.0,870.0,1.6900966504754855
through_modified_basic,"1, 100, 0, 0",5,False,grid_5_5,3,24 8 22,24 3 22 8,through_modified_basic_grid_5_5_39_d5_100,20000,80.0 80.0 80.0 80.0,True,112.09662366236624,84.38180068006801,117.37563756375636,613.0,407.0,613.0,1.6626310765847554
through_modified_basic,"1, 100, 0, 0",0,False,grid_5_5,1,17,4 17 2 22,through_modified_basic_grid_5_5_73_d0_100,20000,60.0 60.0 60.0 60.0,True,264.932797279728,147.65549054905492,287.27133189509425,1555.0,393.0,1555.0,2.0687145468421164
through_modified_basic,"1, 100, 0, 0",5,False,cair,4,1563324348 cluster_1563324004_1563324334 1563324327 1563324349,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_60_d5_100,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,70.47466086724663,46.85478118854781,82.28460070659601,623.0,281.0,623.0,1.962768511654461
through_modified_basic,"1, 100, 0, 0",3,False,grid_5_5,2,23 20,22 20 16 15 23 3,through_modified_basic_grid_5_5_10_d3_100,20000,60.0 60.0 60.0 60.0 60.0 60.0,True,166.17265473452653,113.4501299870013,182.8218730758503,1026.0,525.0,1026.0,1.8247107737862625
through_modified_basic,"1, 100, 0, 0",0,False,grid_5_5,2,15 12,24 10 4 12 2 15,through_modified_basic_grid_5_5_46_d0_100,20000,40.0 40.0 40.0 40.0 40.0 40.0,True,159.74330382595647,124.08412936567476,171.00409576078232,1144.0,608.0,1144.0,1.4957082782303837
through_modified_basic,"1, 100, 0, 0",5,False,cair,3,1154147726 1563324357 1154147727,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_87_d5_100,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,133.8710036720386,104.3403579821009,142.30833101202083,552.0,278.0,552.0,1.5307103621426068
