algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic,False,grid_5_5,1,17,10 3,4 17 2 22,ppa_basic_10_3_57,20000,True,259.3557016358998,172.51705938266048,275.89639539842153,1154,584,1154,1.745163643726754
ppa_basic,False,cair,2,1563324324 414035791,10 3,1563324353 1563324324 1563324336 414035791 cluster_1563324004_1563324334,ppa_basic_10_3_45,20000,True,134.44912245612278,81.37536876843842,154.86210464369373,1156,482,1156,2.4959796432102146
ppa_basic,False,grid_5_5,1,3,10 3,24 3 22 8,ppa_basic_10_3_72,20000,True,253.49820217978203,169.53534646535346,269.4911270777684,1036,553,1036,1.8666437123504416
ppa_basic,False,grid_5_5,3,4 2 15,10 3,24 10 4 12 2 15,ppa_basic_10_3_71,20000,True,111.21030954643196,90.37253087963194,117.79066070436882,709,606,709,1.4147849169036977
ppa_basic,False,grid_5_5,2,6 0,10 3,6 15 24 0 11 17,ppa_basic_10_3_73,20000,True,153.8365953190638,125.26296926051876,162.8598456533412,835,622,835,1.3817523668169236
ppa_basic,False,cair,4,1563324343 1154147728 1154147727 1563324357,10 3,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_10_3_79,20000,True,79.94418335944184,62.16859314068593,86.7809488281941,795,311,795,1.6456225210533877
ppa_basic,False,iitb,4,cluster_-172_5366445082 667357361 -222 667357401,10 3,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_10_3_21,20000,True,165.33148976768987,108.21207045962068,184.3712962037129,1355,655,1355,1.9599217601828944
ppa_basic,False,grid_5_5,4,0 2 17 12,10 3,17 2 12 0 16,ppa_basic_10_3_31,20000,True,99.086801659917,58.26507674616269,109.29223288835558,548,387,548,2.3171812420445588
ppa_basic,False,cair,2,1154147727 cluster_1563324333_1563324337,10 3,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_10_3_28,20000,True,109.32465703188814,95.08834658532112,116.4428122551716,861,591,861,1.357860649070728
ppa_basic,False,cair,3,1563324357 cluster_1563324010_1563324356 1563324324,10 3,1563324357 1563324324 1563324327 cluster_1563324010_1563324356,ppa_basic_10_3_39,20000,True,89.74394540584397,57.95444883465039,98.82665871189928,658,410,658,2.0071017281722985
