algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic_1,False,grid_5_5,2,15 12,100 0,24 10 4 12 2 15,ppa_basic_1_100_0_32,20000,True,215.297082,173.15325,228.60566052631577,1278,781,1278,1.420546554269404
ppa_basic_1,False,iitb,4,3215340464 668685374 2055461156 -266,100 0,2055461156 668685374 3215340464 -266,ppa_basic_1_100_0_34,20000,True,226.86176477943383,138.39594378313495,244.5549289786936,2093,875,2093,2.051067711592055
ppa_basic_1,False,iitb,3,1990860598 3215340463 -222,100 0,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_1_100_0_52,20000,True,272.0230891056097,200.5318579644912,295.8534994859826,2649,1053,2649,1.7940748054624296
ppa_basic_1,False,cair,4,1563324348 cluster_1563324004_1563324334 1563324327 1563324349,100 0,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_basic_1_100_0_10,20000,True,116.33468062292005,63.32329116455824,142.84037535210095,928,640,928,2.647264830639876
ppa_basic_1,False,iitb,1,668685374,100 0,2055461156 668685374 3215340464 -266,ppa_basic_1_100_0_96,20000,True,470.3930277041556,280.88538280742114,508.29455668350255,3351,1046,3351,1.9572803734845725
ppa_basic_1,False,cair,1,1154147728,100 0,1563324348 1563324324 1154147728 1563324343,ppa_basic_1_100_0_95,20000,True,310.5784375851162,165.6283831107109,351.99273886351773,1841,723,1841,2.2941047480241954
ppa_basic_1,False,grid_5_5,1,17,100 0,4 17 2 22,ppa_basic_1_100_0_57,20000,True,286.07483464251766,148.9701055686196,312.19002113278395,1369,486,1369,2.307342377018854
ppa_basic_1,False,iitb,1,5366445083,100 0,4369058864 5366445083 3215340463 667357382 -266,ppa_basic_1_100_0_77,20000,True,587.5273048847557,256.84400779961004,674.5492251703205,4516,1462,4516,3.1902359731244294
ppa_basic_1,False,iitb,4,-222 667357419 -282 667357415,100 0,667357415 -222 -282 668620103 667357419,ppa_basic_1_100_0_16,20000,True,350.986174318197,202.9453290658132,389.94429148987695,3347,1229,3347,2.453336273189607
ppa_basic_1,False,cair,3,1563324327 1563324349 cluster_1563324004_1563324334,100 0,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,ppa_basic_1_100_0_87,20000,True,141.10250512525627,90.25358267913396,160.65978298914945,1215,726,1215,2.058339949222007
ppa_basic_1,False,iitb,3,667357419 1990860598 667357361,100 0,667357361 667357419 667357387 668685374 1990860598,ppa_basic_1_100_0_105,20000,True,210.72814433161588,222.7300785353409,207.5697405937936,1702,1702,1667,1.1120037916745569
ppa_basic_1,False,grid_5_5,2,23 20,100 0,22 20 16 15 23 3,ppa_basic_1_100_0_9,20000,True,302.4574317431743,122.37723772377238,359.3248614335118,923,517,923,3.200666730147656
ppa_basic_1,False,iitb,1,667357382,100 0,667357419 667357382 4369058864 2055461156,ppa_basic_1_100_0_44,20000,True,456.1383127335202,372.2808246597278,472.9098103482787,3484,1621,3484,1.3833169529224445
ppa_basic_1,False,grid_5_5,2,18 5,100 0,5 1 18 13,ppa_basic_1_100_0_6,20000,True,208.4353482325884,169.20617719114043,215.9075712881023,1216,695,1216,1.6721168824127988
ppa_basic_1,False,grid_5_5,2,3 24,100 0,24 3 22 8,ppa_basic_1_100_0_102,20000,True,181.6605289735513,108.72138893055347,195.5536985055509,863,697,863,2.198447525150811
ppa_basic_1,False,cair,3,1563324336 cluster_1563324004_1563324334 1563324324,100 0,1563324353 1563324324 1563324336 414035791 cluster_1563324004_1563324334,ppa_basic_1_100_0_92,20000,True,192.6223488762235,112.92287771222875,223.27599163160605,1335,387,1335,2.7205065801356603
ppa_basic_1,False,grid_5_5,3,2 17 4,100 0,4 17 2 22,ppa_basic_1_100_0_25,20000,True,189.6876215243049,93.5000625125025,208.0090613360768,1199,494,1199,2.5817961098322697
