algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_fhum_0,False,iitb,2,667357382 -266,100 0,-266 4369058864 667357382 -282 667357387 667357409,ppa_fhum_0_100_0_88,20000,True,3454.985731021946,150.59870922553532,4556.44807162075,19987,950,19987,34.80758039322328
ppa_fhum_0,False,grid_5_5,1,6,100 0,6 15 24 0 11 17,ppa_fhum_0_100_0_93,20000,True,456.6993296648324,218.98737702184428,531.7662620784076,6877,527,6877,2.477038425166372
ppa_fhum_0,False,iitb,2,5882320075 cluster_-172_5366445082,100 0,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_fhum_0_100_0_0,20000,True,1773.2155782602172,177.06365364413986,2092.4459631834325,19990,431,19990,13.8676829362968
ppa_fhum_0,False,cair,4,1563324343 1154147728 1154147727 1563324357,100 0,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_fhum_0_100_0_79,20000,True,1062.4995861111113,88.56531,1437.0896923076923,19914,354,19914,19.11960492246054
ppa_fhum_0,False,iitb,4,-222 667357419 -282 667357415,100 0,667357415 -222 -282 668620103 667357419,ppa_fhum_0_100_0_16,20000,True,1569.0262987879091,214.6366428249888,1925.4446293044668,19992,722,19992,10.888666481107188
ppa_fhum_0,False,iitb,3,-266 668620103 3215340463,100 0,667357412 -282 3215340463 -266 668620103 667357401,ppa_fhum_0_100_0_38,20000,True,2615.5990177202107,163.50036674001464,3432.9652347136093,19995,581,19995,24.98692279965266
ppa_fhum_0,False,grid_5_5,1,3,100 0,24 3 22 8,ppa_fhum_0_100_0_72,20000,True,390.2656845684568,133.88626362636265,439.0998599859986,3859,431,3859,3.6001902672631245
ppa_fhum_0,False,grid_5_5,4,0 2 17 12,100 0,17 2 12 0 16,ppa_fhum_0_100_0_31,20000,True,1150.7185297059411,123.80585117023404,1407.446699339868,19933,372,19933,11.81995504156828
ppa_fhum_0,False,cair,1,1154147728,100 0,1563324348 1563324324 1154147728 1563324343,ppa_fhum_0_100_0_95,20000,True,981.4166833433392,124.29794126475886,1226.307752508648,14769,358,14769,10.188415928900897
ppa_fhum_0,False,iitb,1,5366445083,100 0,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_fhum_0_100_0_107,20000,True,1745.2741264316005,180.701392367024,2058.1886732445155,19965,421,19965,13.29559866887571
